,Age,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting,BRId,GenderId,IAId,Nationality_African,Nationality_American,Nationality_Asian,Nationality_Australian,Nationality_European,Fee Structure_High,Fee Structure_Low,Fee Structure_Mid,Loyalty Classification_Gold,Loyalty Classification_Jade,Loyalty Classification_Platinum,Loyalty Classification_Silver,Income Band_Low,Income Band_Mid,Income Band_High
22,26,308182.93,64332.66,1,4458.61,649331.84,103871.63,77431.58,133711.12,12045.07,176113.98,0,5,4,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
23,21,122579.41,10312.54,1,4959.36,963017.56,1115098.09,368467.2,721419.98,11782.22,861771.26,1,2,1,1,2,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
24,41,30942.07,4469.98,1,3338.64,276532.77,132960.52,108193.36,22381.69,23955.9,622223.7,0,1,1,2,3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
25,36,50651.56,8097.25,3,509.21,278071.37,302540.6,94771.75,153748.94,16732.39,430027.77,3,1,1,2,4,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
26,34,502309.08,69381.0,2,10639.31,1469913.23,1724818.3,507299.5,1168238.27,75592.25,2143826.06,0,4,2,1,8,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
27,52,87019.73,11316.5,2,1253.68,273944.56,192711.78,54150.42,73580.86,21530.91,772573.6,1,1,2,2,9,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
28,78,246615.84,35332.0,3,5835.26,622181.88,765153.59,552072.84,308192.24,29778.58,1078308.29,0,3,3,2,10,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
29,34,130023.36,15464.38,1,219.19,366887.14,447804.62,221138.08,271999.84,31010.83,787555.56,0,1,3,1,11,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
30,75,82703.81,8635.67,2,8521.8,842201.38,2098819.5,990288.08,424345.83,32253.44,272858.21,3,4,3,1,12,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
31,47,137256.09,18322.92,2,1050.56,1035297.66,976553.21,180073.64,471515.9,34284.83,469532.28,0,1,3,2,13,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
32,34,224640.75,57090.72,3,3550.74,1091959.45,828226.52,532945.76,127330.83,61733.24,454281.87,1,3,3,1,14,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
33,79,147292.91,24297.42,1,4097.62,105266.65,187826.4,35438.94,70287.24,7805.91,1112746.46,3,1,3,2,15,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
34,73,263248.97,47651.76,2,7069.16,693956.23,1420246.29,554930.67,235234.17,1624.19,2518271.85,3,3,3,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
35,80,193690.93,11655.54,2,3610.42,50809.39,342138.31,255463.27,174627.4,4469.13,626121.9,2,2,4,1,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
36,73,91243.05,37750.72,3,6660.85,122158.61,2137439.34,639548.78,1273038.67,12504.17,411062.27,2,3,4,2,3,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
37,51,162807.39,70394.4,1,811.96,709300.71,1667444.17,517118.76,274495.08,2337.77,270162.94,2,4,3,1,4,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
38,49,193729.94,44815.46,2,2062.15,66053.91,684295.05,337704.05,534461.09,47911.89,992911.86,2,3,1,2,5,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
39,81,131497.09,15962.66,1,3127.86,57219.9,725666.6,233012.21,506302.25,21798.32,498564.84,0,1,2,2,6,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
40,27,319205.91,49416.0,1,9.55,0.0,309361.94,360077.01,135307.81,17710.52,945483.98,3,4,3,1,7,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
41,56,44088.51,32418.88,2,2795.52,1485747.33,396706.92,153723.93,55588.56,40504.26,717420.29,1,2,4,2,8,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
42,33,420683.66,24472.55,1,1011.56,820479.9,1818216.16,683649.27,886562.2,14157.73,1549847.59,1,3,1,1,9,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
43,79,32062.52,19653.48,1,1612.82,231528.63,140280.05,170536.53,109748.51,5492.47,352732.73,0,1,1,2,10,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
44,56,92487.65,23690.51,1,2199.18,560657.25,208470.98,49811.65,134675.95,5026.45,407139.68,2,1,1,1,11,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
45,55,130572.51,49441.92,1,3225.23,120782.42,370436.77,206472.95,264528.29,17000.19,854418.25,0,2,2,1,12,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
46,77,54753.75,5311.0,1,1408.34,80386.11,11363.75,14158.11,4470.98,8745.72,390608.62,1,1,2,2,13,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
47,49,180214.79,9226.35,2,587.71,791256.59,1988033.0,460993.16,783688.37,36763.45,1991318.1,2,2,3,2,14,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
48,67,52826.78,26160.46,2,2617.61,385480.43,295345.61,277114.4,86634.71,20544.7,71268.33,2,1,3,2,15,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
49,66,43622.88,19416.4,1,229.9,39047.14,192729.77,87604.44,223391.32,16286.6,237137.34,0,1,3,1,16,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
50,64,142841.26,5405.0,1,3431.39,508939.36,527832.84,450589.01,171867.52,12316.33,542464.52,0,2,3,1,17,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
51,49,90437.66,12737.4,3,2830.36,573366.17,202406.32,101203.16,80786.52,9723.87,704110.0,2,2,3,1,18,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
52,65,32301.47,5597.4,1,1751.42,310657.96,74293.47,64447.35,14035.2,13795.28,579453.83,1,1,3,1,19,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
53,32,293419.07,16443.25,1,4496.63,2183384.72,1490773.71,634781.07,281227.25,399.2,1633759.29,2,4,3,2,20,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
54,29,55011.84,14206.2,1,3955.06,479936.38,1209655.58,474674.98,299657.72,43547.8,698612.48,3,1,4,1,21,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
55,31,77971.46,7820.4,1,856.21,478157.92,61042.62,29222.53,25358.66,24984.35,487689.45,0,1,4,2,22,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
56,22,84111.51,18940.38,1,156.67,304608.18,130415.95,61947.58,84900.78,3455.22,356683.94,3,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
57,58,98369.29,3050.25,1,1441.89,213195.07,376150.25,235795.68,198629.79,23821.78,312562.61,3,2,2,2,2,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
58,75,243490.73,63872.76,1,5578.34,1045569.03,428657.45,214328.73,382765.89,32217.39,1105110.35,1,3,3,1,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
59,18,72431.34,34975.16,1,5303.5,1210753.08,205810.18,127568.29,29765.93,25402.35,1532523.47,0,2,4,1,4,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
60,47,456003.99,25171.2,2,7969.46,1248952.37,1050537.35,674555.56,237200.27,71113.77,1347657.84,2,4,1,2,8,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
61,41,71422.04,32993.52,1,4253.34,315175.42,38234.02,33404.46,7799.74,38428.49,813247.12,2,2,1,2,9,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
62,36,39077.38,14707.68,2,1305.38,1187138.91,717787.7,144670.39,242934.97,11997.93,1231614.29,0,2,1,2,10,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
63,84,274099.12,26051.76,2,2461.94,563101.95,0.0,0.0,0.0,4870.24,520918.49,3,2,2,2,11,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
64,26,260826.75,53468.1,3,270.6,804359.98,529324.3,295539.4,106261.85,46060.06,296849.18,0,3,2,1,12,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
65,74,334331.81,18591.75,2,1029.3,164253.29,641260.15,500709.98,396615.01,46006.43,1094810.02,1,3,3,2,13,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
66,47,61398.26,20668.94,1,550.75,360003.87,277273.4,305000.74,109324.94,2850.73,118884.97,2,1,3,1,14,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
67,82,63246.3,18575.7,1,2914.18,448652.7,537205.52,362849.34,93209.87,17124.28,237993.7,0,1,3,2,15,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
68,25,158091.86,33824.44,3,1080.03,207662.76,177146.44,177146.44,70553.15,17133.59,235133.69,0,2,3,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
69,44,131729.85,6664.06,2,6215.34,863722.1,359436.79,161746.56,166059.8,41209.82,506592.1,2,2,3,1,2,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
70,38,116926.94,18431.28,2,3828.2,1049088.92,463600.46,200893.53,58413.66,7382.34,1299697.25,1,2,3,2,3,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
71,74,148224.72,27518.0,2,27.81,302048.92,73076.62,28675.63,52337.66,17272.56,456098.92,3,1,3,1,4,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
72,35,348248.56,65026.0,1,3435.36,1369215.65,450525.37,124963.24,169226.54,6690.97,2698297.83,0,3,4,2,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
73,74,19637.78,9527.23,2,78.14,24331.27,150917.77,83660.94,40993.86,17286.26,100054.72,0,1,4,1,6,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
74,62,150304.49,7326.44,1,767.06,523866.09,363305.25,199374.83,224185.92,33854.22,607800.07,1,2,1,1,7,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
75,23,52109.13,14277.05,1,209.68,205552.05,329191.59,116949.64,88665.16,6681.62,1148304.5,1,1,2,1,8,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
76,68,156091.75,20609.04,3,382.87,707577.9,435466.02,112495.39,252896.89,35301.62,837133.63,2,1,3,1,9,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
77,79,338383.13,57267.05,1,3505.86,1565513.72,730384.02,497152.15,144603.76,74778.17,884890.55,1,4,4,1,10,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
78,29,198553.59,20851.74,1,5581.31,414518.57,1144704.01,696263.26,570935.88,40208.75,1522411.23,3,4,1,2,11,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
79,52,190119.93,47110.05,1,3525.21,527884.11,99616.37,122860.19,23741.9,6920.94,136723.47,1,2,1,1,12,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
80,68,147956.79,52216.52,1,2977.86,701005.58,720211.85,302231.76,279467.92,23058.96,1504310.04,3,2,1,2,13,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
81,41,91071.75,33111.54,1,8062.65,677123.94,558283.3,298923.34,147703.3,7880.76,1554534.94,0,2,2,1,14,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
82,70,96545.37,23191.74,1,3386.45,1104753.03,1268890.97,630243.86,252097.54,39556.05,1941061.87,3,2,2,1,15,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
83,32,63765.0,11354.0,1,2644.75,1012372.67,1568405.32,541210.29,478805.43,62053.29,1665045.85,3,2,3,2,16,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
84,47,191715.4,31923.72,1,1296.45,402401.84,269460.7,316098.13,121257.32,19337.29,673780.44,0,2,3,1,17,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
85,83,218312.27,21480.88,2,5886.56,1757312.99,1099352.83,389770.55,402363.14,30773.91,735797.5,1,5,3,1,18,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
86,24,157167.47,31498.25,1,1909.3,597244.53,262988.54,128881.8,51169.56,42714.8,836453.63,3,1,3,1,19,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
87,84,101929.59,13019.3,1,1163.81,614181.3,445914.24,137911.62,373280.79,12590.02,516128.95,3,1,3,2,20,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
88,29,40985.49,19729.5,3,646.13,358194.38,186144.38,114664.94,37333.12,13412.63,222160.88,1,1,3,1,21,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
89,85,109218.7,6820.8,1,2767.3,587928.77,198995.43,128873.23,68530.24,13413.79,566786.3,2,1,3,1,22,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
90,51,174258.52,34182.52,1,5185.78,648432.67,1125389.67,830895.18,198783.78,36318.33,452950.77,3,3,4,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
91,59,74059.23,14702.6,2,1361.56,374815.99,384271.05,216865.84,124336.41,8446.4,962931.99,2,1,4,2,2,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
92,84,158874.14,38794.28,1,2366.28,261364.76,127418.48,101648.45,46915.77,40839.46,334072.22,0,2,1,1,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
93,69,71958.9,13998.9,1,2756.83,124510.61,199185.62,120782.77,81093.97,15957.53,639874.92,1,1,2,2,4,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
94,17,189074.19,13258.42,1,4138.78,291504.55,247346.43,81405.16,162184.12,11482.62,358381.36,3,3,3,2,8,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
95,78,74408.69,28689.62,2,494.76,24949.1,188138.63,218375.19,61145.05,12141.52,326434.35,2,1,4,2,9,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
96,25,447928.06,42888.81,1,3074.93,841124.62,611852.17,222491.7,457697.21,33497.73,347546.25,3,5,1,2,10,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
97,61,309939.21,51303.6,2,10999.17,1198037.84,1457194.61,691706.3,145258.32,44952.26,3619311.37,3,4,1,2,11,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
98,61,151227.36,25749.75,1,397.4,455965.07,212193.82,276609.8,79800.03,13699.11,796820.24,2,2,1,1,12,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
99,48,401412.67,48428.15,2,3172.65,1511484.73,827446.85,498247.56,399309.83,51370.22,155806.11,3,5,2,1,13,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
100,35,263452.26,17416.8,1,3107.16,0.0,687595.13,297957.89,507980.0,16429.39,980875.66,2,2,2,1,14,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
101,21,404760.25,41342.34,2,4733.35,1022752.85,425498.09,212749.04,145323.96,64179.71,477400.93,0,3,3,1,15,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
102,23,122608.89,31945.22,1,226.91,248995.76,167320.36,182304.28,54616.36,24666.31,166961.63,2,2,3,2,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
103,24,72688.95,5604.02,1,2577.26,44247.13,47024.48,16596.87,24784.67,24564.97,362233.8,1,1,3,2,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
104,50,96295.61,23986.83,1,1323.88,311472.63,193153.03,136197.65,60174.6,21291.85,396610.18,2,2,3,2,3,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
105,20,127182.69,10617.09,3,3142.39,92065.37,781027.69,183771.22,567065.49,24086.65,613018.84,2,1,3,2,4,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
106,49,86309.17,19088.42,1,954.95,184129.95,136811.36,39799.67,71888.15,11832.68,506381.3,2,1,3,1,5,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
107,42,39039.16,35780.3,1,1286.88,429795.64,217684.78,110466.9,253034.18,13282.16,83301.84,2,2,3,2,6,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
108,76,302021.94,5907.2,3,825.52,1259346.41,462110.27,75017.9,137282.76,23172.43,2366879.7,1,2,4,1,7,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
109,66,274381.44,26955.98,1,4251.72,665570.32,1124343.31,488444.23,424485.68,47412.87,1827431.05,2,2,4,2,8,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
110,42,122710.9,20009.16,1,4783.55,763332.61,129332.34,48804.66,76867.33,14130.27,334266.15,2,2,1,2,9,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
111,29,120617.67,15025.68,1,1932.43,575222.32,588831.44,455869.5,122324.98,16839.35,970188.11,2,1,2,1,10,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
112,22,108847.47,7393.47,1,2935.23,129402.67,257681.31,177419.92,294010.15,18533.78,640916.4,3,2,3,2,11,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
113,36,93309.6,22124.7,2,937.31,695931.26,858197.4,319474.94,168820.58,30101.04,935708.81,3,1,4,2,12,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
114,35,131076.39,13731.44,1,6092.06,256672.86,325915.34,109714.07,159730.79,53942.1,1750716.49,2,3,1,2,13,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
115,84,83441.32,2173.28,1,862.35,322636.11,198962.55,37398.97,133514.34,1917.33,432785.25,1,1,1,2,14,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
116,48,359386.37,4756.08,1,2420.87,1546378.41,1190649.75,872458.87,163201.13,75357.4,168061.17,2,3,1,2,15,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
117,25,113118.57,12160.5,2,1536.54,641964.66,1029868.13,340871.85,349792.54,6328.91,433718.35,3,1,2,1,16,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
118,20,110102.32,12255.54,1,1513.51,37756.8,136175.35,151887.89,91289.86,5837.49,469924.54,1,2,2,1,17,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
119,79,343198.66,27522.88,1,4049.93,140800.99,758995.41,582243.06,306509.38,11408.94,637394.98,0,3,3,2,18,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
120,24,139310.32,37632.9,3,2109.05,252780.62,94179.54,113664.97,26792.46,10164.28,303349.11,2,2,3,1,19,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
121,32,89269.83,18376.2,3,329.22,32037.08,199933.91,199933.91,152113.65,1727.52,154043.36,3,1,3,2,20,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
122,76,75161.91,13911.24,2,2286.76,557461.27,25563.15,16645.77,11901.73,18131.52,491968.85,3,1,3,2,21,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
123,40,124589.37,23297.54,1,468.2,124046.99,346256.75,400359.37,129413.46,22425.85,717391.36,0,2,3,1,22,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
124,43,435632.17,37078.86,1,3008.92,424214.25,71187.94,76882.97,56978.82,10069.15,961426.38,0,4,3,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
125,71,88221.82,12126.95,1,5284.59,918742.14,542037.0,348097.16,156643.72,15380.77,1451850.52,3,2,3,2,2,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
126,29,48788.15,30341.94,1,872.32,1099020.48,1385972.0,511219.18,337404.66,53970.25,536373.73,1,2,4,1,3,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
127,66,324199.84,27648.39,1,365.06,557907.89,507996.38,369451.91,74814.01,12758.36,359677.7,3,3,4,1,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
128,61,282658.49,30651.24,1,10127.28,436116.47,989380.39,512232.4,227346.98,57308.34,588222.31,1,2,1,2,8,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
129,24,274736.56,45424.8,2,641.87,702014.71,147575.13,105053.48,139270.9,30227.92,865724.13,0,2,2,2,9,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
130,23,147339.86,27029.67,1,3638.15,245108.44,149314.45,121975.18,53879.38,4424.42,959192.19,0,2,3,2,10,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
131,48,81683.44,23580.9,2,2171.31,418824.88,959454.45,644753.39,73686.1,37787.75,742030.19,1,1,4,2,11,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
132,26,76005.3,40640.6,2,5570.9,495739.92,606032.72,399981.6,103025.56,30266.72,172313.94,0,2,1,2,12,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
133,70,206026.56,3094.2,2,2470.82,818737.34,630729.9,411037.46,357177.38,23541.92,256471.12,3,2,1,2,13,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
134,85,288440.81,5937.12,1,1909.77,397326.42,265216.0,168773.82,263367.53,15874.0,654569.82,2,2,1,1,14,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
135,37,57825.32,47025.14,2,3151.39,627597.93,972403.54,395038.94,328186.19,73866.7,1634407.3,2,2,2,2,15,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
136,31,412837.04,62194.6,1,7104.71,927808.29,1251565.58,441729.03,428967.97,104897.64,958339.06,0,5,2,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
137,85,130272.52,20605.37,3,1928.39,230291.87,124809.29,82050.55,32508.2,34351.1,985553.24,0,1,3,2,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
138,37,360800.21,18238.48,1,526.42,338782.79,34504.45,45616.05,8748.93,27404.41,520344.88,2,3,3,2,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
139,71,35234.55,15378.9,3,3792.07,144620.71,441638.95,115353.46,257073.42,23225.95,387030.32,0,1,3,2,4,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
140,72,95828.94,9459.79,2,1871.16,312519.52,267545.78,93925.65,236464.93,2184.53,824674.14,0,1,3,1,5,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
141,35,146788.5,39834.5,1,2397.24,122986.19,640602.91,367870.98,223767.04,27457.36,1002791.63,3,2,3,1,6,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
142,56,70386.82,49752.78,1,4733.41,1229595.68,325521.19,190930.7,86670.02,39190.01,1637999.56,3,2,3,1,7,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
143,19,54632.7,6161.4,1,833.75,60365.86,90680.46,34781.55,76916.9,6030.41,412083.07,3,1,3,1,8,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
144,26,390608.46,51660.0,2,6590.61,1303392.78,81313.25,54839.17,36534.23,35486.35,1703047.68,2,4,4,2,9,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
145,34,209330.69,12650.79,1,2424.38,469557.5,185097.77,157333.1,105814.22,62.59,187166.54,2,2,4,1,10,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
146,75,112683.73,5161.2,2,5247.15,832861.83,1070053.58,716470.66,173348.68,26418.79,1165504.97,1,2,1,2,11,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
